<<<<<<< HEAD
E C,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  
E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  
E  ,E  ,B 3,B 3,E  ,E  ,E  ,E  ,E  ,E  
E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  
E  ,E  ,E  ,W  ,E  ,K 3,E  ,E  ,E  ,E  
E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  
E  ,E  ,E  ,B 4,E  ,E  ,E  ,E  ,E  ,E  
E  ,E  ,E  ,E  ,E  ,E  ,E  ,K 4,E  ,E  
E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  
E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,F  

E C,E  ,B 3,B 3,B 3,K 4,E  ,E  ,E  ,E  
E  ,K 1,B 1,K 2,E  ,E  ,E  ,E  ,E  ,E  
W  ,B 2,W  ,B 3,E  ,E  ,E  ,E  ,E  ,E  
E  ,K 3,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  
E  ,E  ,E  ,W  ,E  ,K 3,E  ,E  ,E  ,E  
E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  
E  ,E  ,E  ,B 4,E  ,E  ,E  ,E  ,E  ,E  
E  ,E  ,E  ,E  ,E  ,E  ,E  ,K 4,E  ,E  
E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  
E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,F 
 
E C,K 4,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  
E  ,B 4,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  
E  ,K 5,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  
E  ,B 5,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  
F  ,K 3,W  ,E  ,E  ,E  ,E  ,E  ,E  ,E  
E  ,B 4,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  
E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  
E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  
E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  
E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E

K 2,E  ,W  ,E  ,E  ,E  ,E  ,E  ,B 5,K 1
E  ,E  ,W  ,E  ,E  ,E  ,E  ,E  ,W  ,W  
B 4,W  ,W  ,E  ,E  ,E  ,E  ,E  ,W  ,W  
E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,B 3,E  
W  ,W  ,W  ,W  ,W  ,W  ,B 1,W  ,W  ,K 4
E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,W  
E  ,W  ,W  ,W  ,W  ,W  ,W  ,W  ,E  ,E  
E  ,B 2,E  ,E  ,E  ,E  ,E  ,E  ,W  ,E C
E  ,W  ,W  ,W  ,W  ,W  ,W  ,E  ,W  ,W  
E  ,E  ,E  ,K 1,E  ,K 3,W  ,K 5,B 1,F  

E  ,K 4,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  
E  ,B 4,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  
E  ,K 5,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  
E  ,B 5,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  
E  ,K 3,W  ,E  ,E  ,E  ,E  ,E  ,E  ,E  
E  ,B 4,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  
E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  
E  ,E  ,E  ,E  ,E  ,E  ,E  ,W  ,E  ,E  
E  ,E  ,E  ,E  ,E  ,E  ,E  ,E C,K 4,E  
E  ,E  ,E  ,E  ,E  ,E  ,E  ,E  ,B 4,F  
=======
>>>>>>> origin/master
